Date,GDP,,,,,
1900-12-31,,,,,,
1901-12-31,,,,,,
1902-12-31,,,,,,
1903-12-31,,,,,,
1904-12-31,,,,,,
1905-12-31,,,,,,
1906-12-31,,,,,,
1907-12-31,,,,,,
1908-12-31,,,,,,
1909-12-31,,,,,,
1910-12-31,,,,,,
1911-12-31,,,,,,
1912-12-31,,,,,,
1913-12-31,,,,,,
1914-12-31,,,,,,
1915-12-31,,,,,,
1916-12-31,,,,,,
1917-12-31,,,,,,
1918-12-31,,,,,,
1919-12-31,,,,,,
1920-12-31,,,,,,
1921-12-31,,,,,,
1922-12-31,,,,,,
1923-12-31,,,,,,
1924-12-31,,,,,,
1925-12-31,,,,,,
1926-12-31,,,,,,
1927-12-31,,,,,,
1928-12-31,,,,,,
1929-12-31,104.60,,,,,
1930-12-31,92.20,,,,,
1931-12-31,77.40,,,,,
1932-12-31,59.50,,,,,
1933-12-31,57.20,,,,,
1934-12-31,66.80,,,,,
1935-12-31,74.20,,,,,
1936-12-31,84.80,,,,,
1937-12-31,93,,,,,
1938-12-31,87.40,,,,,
1939-12-31,93.40,,,,,
1940-12-31,102.90,,,,,
1941-12-31,129.30,,,,,
1942-12-31,166,,,,,
1943-12-31,203.10,,,,,
1944-12-31,224.40,,,,,
1945-12-31,228,,,,,
1946-12-31,227.50,,,,,
1947-12-31,249.60,,,,,
1948-12-31,274.50,,,,,
1949-12-31,272.50,,,,,
1950-12-31,299.80,,,,,
1951-12-31,346.90,,,,,
1952-12-31,367.30,,,,,
1953-12-31,389.20,,,,,
1954-12-31,390.50,,,,,
1955-12-31,425.50,,,,,
1956-12-31,449.40,,,,,
1957-12-31,474,,,,,
1958-12-31,481.20,,,,,
1959-12-31,521.70,,,,,
1960-12-31,542.40,,,,,
1961-12-31,562.20,,,,,
1962-12-31,603.90,,,,,
1963-12-31,637.50,,,,,
1964-12-31,684.50,,,,,
1965-12-31,742.30,,,,,
1966-12-31,813.40,,,,,
1967-12-31,860,,,,,
1968-12-31,940.70,,,,,
1969-12-31,"1,017.60",,,,,
1970-12-31,"1,073.30",,,,,
1971-12-31,"1,164.90",,,,,
1972-12-31,"1,279.10",,,,,
1973-12-31,"1,425.40",,,,,
1974-12-31,"1,545.20",,,,,
1975-12-31,"1,684.90",,,,,
1976-12-31,"1,873.40",,,,,
1977-12-31,"2,081.80",,,,,
1978-12-31,"2,351.60",,,,,
1979-12-31,"2,627.30",,,,,
1980-12-31,"2,857.30",,,,,
1981-12-31,"3,207",,,,,
1982-12-31,"3,343.80",,,,,
1983-12-31,"3,634",,,,,
1984-12-31,"4,037.60",,,,,
1985-12-31,"4,339",,,,,
1986-12-31,"4,579.60",,,,,
1987-12-31,"4,855.20",,,,,
1988-12-31,"5,236.40",,,,,
1989-12-31,"5,641.60",,,,,
1990-12-31,"5,963.10",,,,,
1991-12-31,"6,158.10",,,,,
1992-12-31,"6,520.30",,,,,
1993-12-31,"6,858.60",,,,,
1994-12-31,"7,287.20",,,,,
1995-12-31,"7,639.70",,,,,
1996-12-31,"8,073.10",,,,,
1997-12-31,"8,577.60",,,,,
1998-12-31,"9,062.80",,,,,
1999-12-31,"9,631.20",,,,,
2000-12-31,"10,251",,,,,
2001-12-31,"10,581.90",,,,,
2002-12-31,"10,929.10",,,,,
2003-12-31,"11,456.50",,,,,
2004-12-31,"12,217.20",,,,,
2005-12-31,"13,039.20",,,,,
2006-12-31,"13,815.60",,,,,
2007-12-31,"14,474.20",,,,,
2008-12-31,"14,769.90",,,,,
2009-12-31,"14,478.10",,,,,
2010-12-31,"15,049",,,,,
2011-12-31,"15,599.70",,,,,
2012-12-31,"16,254",,,,,
2013-12-31,"16,843.20",,,,,
2014-12-31,"17,550.70",,,,,
2015-12-31,"18,238.30",,,,,
2016-12-31,"18,695.10",,,,,
2017-12-31,"19,479.60",,,,,
2018-12-31,"20,527.20",,,,,
2019-12-31,"21,372.60",,,,,
2020-12-31,"20,893.70",,,,,
